Date,Yield,Log.Returns
7/15/25,6.275,-0.000796495
7/14/25,6.28,0.005108568
7/11/25,6.248,-0.000320051
7/10/25,6.25,0.002402885
7/9/25,6.235,-0.001602564
7/8/25,6.245,0.004815419
7/7/25,6.215,-0.000804182
7/4/25,6.22,-0.000803536
7/3/25,6.225,-0.004807702
7/2/25,6.255,0.00079968
7/1/25,6.25,-0.006379607
6/30/25,6.29,-0.005548964
6/27/25,6.325,-0.000790202
6/26/25,6.33,-0.001578532
6/25/25,6.34,-0.008637667
6/24/25,6.395,-0.009338589
6/23/25,6.455,0.002326484
6/20/25,6.44,0.001554002
6/19/25,6.43,0.004676548
6/18/25,6.4,0
6/17/25,6.4,-0.00389864
6/16/25,6.425,0.00781254
6/13/25,6.375,0
6/12/25,6.375,0
6/11/25,6.375,0.008664883
6/10/25,6.32,0.001583532
6/9/25,6.31,0.003174606
6/5/25,6.29,-0.001271052
6/4/25,6.298,0.002066281
6/3/25,6.285,0.001592357
6/2/25,6.275,0.00079713
5/30/25,6.27,-0.001593626
5/29/25,6.28,0.002391392
5/28/25,6.265,-0.002391392
5/27/25,6.28,0.001593626
5/26/25,6.27,0
5/23/25,6.27,-0.001593626
5/22/25,6.28,0.003189795
5/21/25,6.26,0.005606743
5/20/25,6.225,-0.004008021
5/19/25,6.25,0.005937593
5/16/25,6.213,-0.021810942
5/15/25,6.35,0.011084832
5/14/25,6.28,0.009600074
5/13/25,6.22,0.009693129
5/12/25,6.16,0.001624696
5/9/25,6.15,-0.001624696
5/8/25,6.16,-0.00162206
5/7/25,6.17,-0.016077517
5/6/25,6.27,-0.001593626
5/5/25,6.28,-0.002385687
5/2/25,6.295,0.003979313
4/30/25,6.27,-0.015037877
4/29/25,6.365,0.014240747
4/28/25,6.275,0
4/25/25,6.275,0.0023933
4/24/25,6.26,0.001598721
4/23/25,6.25,-0.004788517
4/22/25,6.28,-0.007140054
4/21/25,6.325,0.00793655
4/18/25,6.275,0
4/17/25,6.275,-0.011881328
4/16/25,6.35,-0.002359419
4/15/25,6.365,0.003147131
4/14/25,6.345,-0.007849334
4/11/25,6.395,0.022934971
4/10/25,6.25,0
4/9/25,6.25,0
4/8/25,6.25,0.020202707
4/7/25,6.125,0.004089985
4/4/25,6.1,-0.006535971
4/3/25,6.14,-0.000814001
4/2/25,6.145,-0.000813339
4/1/25,6.15,-0.004056801
3/31/25,6.175,-0.000809389
3/28/25,6.18,-0.002424244
3/27/25,6.195,-0.008838949
3/26/25,6.25,-0.003194891
3/25/25,6.27,-0.00079713
3/24/25,6.275,0.005593303
3/21/25,6.24,-0.001601281
3/20/25,6.25,0.004008021
3/19/25,6.225,0.000803536
3/18/25,6.22,0.003220615
3/17/25,6.2,0.000806777
3/14/25,6.195,-0.000484144
3/13/25,6.198,0.002423069
3/12/25,6.183,-0.002745701
3/11/25,6.2,-0.003220615
3/10/25,6.22,0.003220615
3/7/25,6.2,-0.00402415
3/6/25,6.225,0.00402415
3/5/25,6.2,0.00404041
3/4/25,6.175,0.004056801
3/3/25,6.15,0
2/28/25,6.15,-0.00809721
2/27/25,6.2,0
2/26/25,6.2,0
2/25/25,6.2,0.00809721
2/24/25,6.15,-0.020121403
2/21/25,6.275,-0.015810606
2/20/25,6.375,0.011834458
2/19/25,6.3,0.00796817
2/18/25,6.25,0
2/17/25,6.25,0
2/14/25,6.25,0
2/13/25,6.25,0.008032172
2/12/25,6.2,0.00809721
2/11/25,6.15,-0.016129382
2/10/25,6.25,0.011263192
2/7/25,6.18,-0.011263192
2/6/25,6.25,-0.003992021
2/5/25,6.275,0.014446479
2/4/25,6.185,0.000323415
2/3/25,6.183,0.003726813
1/31/25,6.16,-0.004050228
1/30/25,6.185,0.002428168
1/28/25,6.17,-0.003236249
1/27/25,6.19,-0.001614205
1/24/25,6.2,-0.011227063
1/23/25,6.27,0.002395211
1/22/25,6.255,0.00079968
1/21/25,6.25,-0.010346292
1/20/25,6.315,-0.00237248
1/17/25,6.33,-0.003154577
1/16/25,6.35,-0.007843177
1/15/25,6.4,0.007843177
1/14/25,6.35,0.012678458
1/13/25,6.27,0.019324273
1/10/25,6.15,0
1/9/25,6.15,0.00162734
1/8/25,6.14,0.00817666
1/7/25,6.09,-0.006546668
1/6/25,6.13,-0.017785432
1/3/25,6.24,0
1/2/25,6.24,0.008853177
12/31/24,6.185,0
12/30/24,6.185,-0.010454458
12/27/24,6.25,0
12/26/24,6.25,0.020202707
12/25/24,6.125,0
12/24/24,6.125,0
12/23/24,6.125,0.003270649
12/20/24,6.105,0.004103412
12/19/24,6.08,0.025824009
12/18/24,5.925,-0.000843526
12/17/24,5.93,-0.00168492
12/16/24,5.94,0.006756782
12/13/24,5.9,0.000847817
12/12/24,5.895,-0.000847817
12/11/24,5.9,-0.008438869
12/10/24,5.95,0.010135222
12/9/24,5.89,0
12/6/24,5.89,-0.011814483
12/5/24,5.96,0.001679262
12/4/24,5.95,0
12/3/24,5.95,-0.00836825
12/2/24,6,0.001668057
11/29/24,5.99,-0.004995847
11/28/24,6.02,-0.004144225
11/27/24,6.045,0.002484473
11/26/24,6.03,-0.003311261
11/25/24,6.05,-0.004123717
11/22/24,6.075,0.010757241
11/21/24,6.01,0.001665279
11/20/24,6,-0.024692613
11/19/24,6.15,0.008163311
11/18/24,6.1,0
11/15/24,6.1,0.004106782
11/14/24,6.075,0.01242252
